search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10951119-B2,Method for controlling a switched electronic circuit ,"Safran Electronics & Defense, Universite De Lorraine","Gaetan Beneux, Jamal Daafouz, Louis GRIMAUD, Pierre Riedinger",2017-05-22,2018-05-22,2021-03-16,2021-03-16,https://patents.google.com/patent/US10951119B2/en,https://patentimages.storage.googleapis.com/0c/45/e4/bd06600282ec92/US10951119-20210316-D00000.png
US-11394329-B2,Damper for power train ,Hamilton Sundstrand Corporation,"Grzegorz POPEK, Ignacio CASTRO",2019-10-04,2020-07-02,2022-07-19,2022-07-19,https://patents.google.com/patent/US11394329B2/en,https://patentimages.storage.googleapis.com/27/27/99/55e6ebb52ab971/US11394329-20220719-D00000.png
US-11791741-B2,Power converter assemblies with busbars ,Hamilton Sundstrand Corporation,"Sebastian Rosado, Robert H. Dold, Bo Liu, Xin Wu",2020-04-07,2021-04-07,2023-10-17,2023-10-17,https://patents.google.com/patent/US11791741B2/en,https://patentimages.storage.googleapis.com/f7/d4/9b/68fc9722b781cb/US11791741-20231017-D00000.png
US-9182616-B1,Photonic band gap structure with tunable optical and electronic properties ,Carnegie Mellon University,"Michael R. Bockstaller, Lisa M. Porter, Sudarshan Narayanan, Jihoon Choi",2012-08-02,2013-08-02,2015-11-10,2015-11-10,https://patents.google.com/patent/US9182616B1/en,https://patentimages.storage.googleapis.com/9f/92/14/22f658f97ae3ea/US09182616-20151110-D00000.png
US-9218756-B2,Test system for semiconductor array ,Infineon Technologies Ag,"Herbert Hopfgartner, Alexander Mayer",2013-07-05,2013-07-05,2015-12-22,2015-12-22,https://patents.google.com/patent/US9218756B2/en,https://patentimages.storage.googleapis.com/13/fe/3e/5b08569ce18397/US09218756-20151222-D00000.png
US-11309449-B2,Voltage tunable solar blindness in TFS grown EG/SiC Schottky contact bipolar phototransistors ,University Of South Carolina,"Venkata Surya N. Chava, MVS Chandrashekhar, Anusha Balachandran",2017-06-27,2018-06-27,2022-04-19,2022-04-19,https://patents.google.com/patent/US11309449B2/en,https://patentimages.storage.googleapis.com/3f/80/ee/0015b7ec7e007a/US11309449-20220419-D00000.png
US-8482064-B2,Termination for superjunction VDMOSFET ,"Suzhou Poweron Ic Design Co., Ltd.","Yangbo Yi, Haisong Li, Qin Wang, Ping Tao, Lixin Zhang",2011-09-21,2012-06-11,2013-07-09,2013-07-09,https://patents.google.com/patent/US8482064B2/en,https://patentimages.storage.googleapis.com/60/e7/24/43f0b6136c681c/US08482064-20130709-D00000.png
US-8299411-B2,Control surface actuation system ,Her Majesty In Right Of Canada As Represented By The Minister Of National Defence,"Frank Wong, Camille Alain Rabbath, Nicholas Lechevin, Olivier BOISSONNEAULT",2007-06-01,2008-05-27,2012-10-30,2012-10-30,https://patents.google.com/patent/US8299411B2/en,https://patentimages.storage.googleapis.com/d6/48/53/ebc03fa357c5f5/US08299411-20121030-D00000.png
US-5590345-A,Advanced parallel array processor(APAP) ,International Business Machines Corporation,"Thomas N. Barker, Clive A. Collins, Michael C. Dapp, James W. Dieffenderfer, Donald G. Grice, Peter M. Kogge, David C. Kuchinski, Billy J. Knowles, Donald M. Lesmeister, Richard E. Miles, Richard E. Nier, Eric E. Retter, Robert R. Richardson, David B. Rolfe, Nicholas J. Schoonover, Vincent J. Smoral, James R. Stupp, Paul A. Wilkinson",1990-11-13,1992-05-22,1996-12-31,1996-12-31,https://patents.google.com/patent/US5590345A/en,https://patentimages.storage.googleapis.com/3b/9f/c4/4639880f069444/US5590345-drawings-page-3.png
US-5027264-A,Power conversion apparatus for DC/DC conversion using dual active bridges ,Wisconsin Alumni Research Foundation,"Rik W. DeDoncker, Mustansir H. Kheraluwala, Deepakraj M. Divan",1989-09-29,1989-09-29,1991-06-25,1991-06-25,https://patents.google.com/patent/US5027264A/en,https://patentimages.storage.googleapis.com/19/3d/ee/edcd77cfdcb212/US5027264-drawings-page-2.png
