search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22power+semiconductor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9236812-B2,Universal AC to DC converter ,Hamilton Sundstrand Corporation,"Adam Michael White, Waleed M. Said, Mustansir Kheraluwala",2014-01-07,2014-01-07,2016-01-12,2016-01-12,https://patents.google.com/patent/US9236812B2/en,https://patentimages.storage.googleapis.com/a0/2a/63/93fab318de3182/US09236812-20160112-D00000.png
US-9435263-B2,Thermal stress reduction in aircraft motor controllers ,Hamilton Sundstrand Corporation,"Huazhen Chai, Adam M. White, Mustansir Kheraluwala",2012-04-20,2014-05-20,2016-09-06,2016-09-06,https://patents.google.com/patent/US9435263B2/en,https://patentimages.storage.googleapis.com/75/8f/d5/608fbab860e90d/US09435263-20160906-D00000.png
US-11387790-B2,Power semiconductor device with charge trapping compensation ,Analog Devices International Unlimited Company,"Mark Cope, Patrick Joseph Pratt",2019-01-24,2020-01-14,2022-07-12,2022-07-12,https://patents.google.com/patent/US11387790B2/en,https://patentimages.storage.googleapis.com/1b/8c/9d/841da28ee5df34/US11387790-20220712-D00000.png
US-8638827-B2,High-power semiconductor laser and method for manufacturing the same ,"XI'AN Focuslight Technologies Co., Ltd",Xingsheng Liu,2009-01-09,2009-12-28,2014-01-28,2014-01-28,https://patents.google.com/patent/US8638827B2/en,https://patentimages.storage.googleapis.com/40/01/a7/6721809735dc4e/US08638827-20140128-D00000.png
US-11533070-B2,Systems and methods of compensating for narrowband distortion in power semiconductor devices ,Analog Devices International Unlimited Company,"Patrick Joseph Pratt, Dong Chen, Mark Cope, Christopher Mayer, Praveen Chandrasekaran, Stephen Summerfield",2019-12-23,2020-11-16,2022-12-20,2022-12-20,https://patents.google.com/patent/US11533070B2/en,https://patentimages.storage.googleapis.com/ae/c9/76/918bc96c578e59/US11533070-20221220-D00000.png
US-11277127-B1,Intelligent multi-level voltage gate driving system for semiconductor power devices ,"H. Alan Mantooth, Shuang Zhao, Audrey Dearien","H. Alan Mantooth, Shuang Zhao, Audrey Dearien",2019-05-15,2020-05-15,2022-03-15,2022-03-15,https://patents.google.com/patent/US11277127B1/en,https://patentimages.storage.googleapis.com/f6/c2/7c/5841f51a7b808b/US11277127-20220315-D00000.png
US-9293985-B2,Method of reducing input current distortion in a rectifier ,Hamilton Sundstrand Corporation,Vietson M. Nguyen,2013-06-14,2013-06-14,2016-03-22,2016-03-22,https://patents.google.com/patent/US9293985B2/en,https://patentimages.storage.googleapis.com/b0/91/51/fa2c9d6c74736b/US09293985-20160322-D00000.png
US-11799364-B2,Electric propulsion system having integrated electrical and thermal architecture and related methods of operating and implementing same ,"Kaney Aerospace, Inc.","Waleed Said, Michael Andres, Adam White",2020-04-30,2021-04-28,2023-10-24,2023-10-24,https://patents.google.com/patent/US11799364B2/en,https://patentimages.storage.googleapis.com/56/5f/4e/878f8560001fd8/US11799364-20231024-D00000.png
US-8415791-B2,Semiconductor device and fabrication method therefor ,"Ibiden Co., Ltd.","Kiyotaka Tsukada, Tetsuya Muraki, Atsunari Yamashita, Yoshitomo Tomida",2009-11-24,2010-11-23,2013-04-09,2013-04-09,https://patents.google.com/patent/US8415791B2/en,https://patentimages.storage.googleapis.com/a6/b6/97/e3bece8a0be586/US08415791-20130409-D00000.png
US-11127829-B2,Semiconductor device ,"Nanjing Sinnopower Technology Co., Ltd.",Xinjiang LYU,2017-08-29,2018-07-26,2021-09-21,2021-09-21,https://patents.google.com/patent/US11127829B2/en,https://patentimages.storage.googleapis.com/fc/94/f9/b9bf89a2e014e3/US11127829-20210921-D00000.png
US-8814030-B2,Improvements of long term bondline reliability of power electronics operating at high temperatures ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Sang Won Yoon,2012-04-17,2012-12-20,2014-08-26,2014-08-26,https://patents.google.com/patent/US8814030B2/en,https://patentimages.storage.googleapis.com/56/32/22/07d60bc081f9bf/US08814030-20140826-D00000.png
US-10155284-B2,Systems and methods for preventing or reducing contamination enhanced laser induced damage (C-LID) to optical components using gas phase additives ,The Aerospace Corporation,"Bruce H. Weiller, Randy M. Villahermosa, Jesse D. Fowler",2010-03-29,2014-07-29,2018-12-18,2018-12-18,https://patents.google.com/patent/US10155284B2/en,https://patentimages.storage.googleapis.com/87/f1/a7/c47687728805a6/US10155284-20181218-D00000.png
US-9172301-B2,Synchronous rectification in the three-level inverter-converter topologies ,Hamilton Sundstrand Corporation,Vietson M. Nguyen,2013-05-07,2013-05-07,2015-10-27,2015-10-27,https://patents.google.com/patent/US9172301B2/en,https://patentimages.storage.googleapis.com/de/f3/9f/b9b24cdd5f2315/US09172301-20151027-D00000.png
US-8035236-B2,Semiconductor device comprising high performance encapsulation resins ,"The Regents Of The University Of California, Mitsubishi Chemical Corporation","Craig J. Hawker, Hunaid Nulwala, Anika A. Odukale, Jeffrey A. Gerbec, Kenichi Takizawa",2009-10-16,2009-10-16,2011-10-11,2011-10-11,https://patents.google.com/patent/US8035236B2/en,https://patentimages.storage.googleapis.com/c8/dd/33/6cd762b42de37b/US08035236-20111011-D00000.png
