search URL:,https://patents.google.com/?q=%28%22heat+switch%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7527022-B2,Animal habitat and display system ,North American Pet Products,"Ronald K. Bonner, Eric R. Knudsen",2003-01-28,2007-07-02,2009-05-05,2009-05-05,https://patents.google.com/patent/US7527022B2/en,https://patentimages.storage.googleapis.com/99/b0/ba/88d88d9c6c93f7/US07527022-20090505-D00000.png
US-10066798-B2,Interchange universal kits for LED light device ,Tseng-Lu Chien,Tseng-Lu Chien,2005-03-30,2011-11-14,2018-09-04,2018-09-04,https://patents.google.com/patent/US10066798B2/en,https://patentimages.storage.googleapis.com/f8/bf/3c/5c5ef59e5acb9b/US10066798-20180904-D00000.png
US-8138880-B2,Persistent current switch ,International Business Machines Corporation,"George A. Keefe, Roger H. Koch, Frank P. Milliken, JR., James R. Rozen",2008-07-30,2008-07-30,2012-03-20,2012-03-20,https://patents.google.com/patent/US8138880B2/en,https://patentimages.storage.googleapis.com/ee/14/45/eec76f9bd5f765/US08138880-20120320-D00000.png
US-7755899-B2,Miniaturized high conductivity thermal/electrical switch ,ÅAC Microtec AB,Lars Stenmark,2006-01-18,2007-01-18,2010-07-13,2010-07-13,https://patents.google.com/patent/US7755899B2/en,https://patentimages.storage.googleapis.com/f8/72/82/7a990932c4dd4e/US07755899-20100713-D00000.png
US-8434927-B2,Interchange universal kits for LED light device ,Tseng-Lu Chien,Tseng-Lu Chien,2004-07-06,2009-11-19,2013-05-07,2013-05-07,https://patents.google.com/patent/US8434927B2/en,https://patentimages.storage.googleapis.com/23/52/ac/a79875d5c5cfdd/US08434927-20130507-D00000.png
US-8146584-B2,Pressure switch assembly for a furnace ,Carrier Corporation,Kevin D. Thompson,2006-12-01,2006-12-01,2012-04-03,2012-04-03,https://patents.google.com/patent/US8146584B2/en,https://patentimages.storage.googleapis.com/5c/b6/5a/e90070750f1ddb/US08146584-20120403-D00000.png
US-7181927-B2,Primary heat exchanger for patient temperature control ,Alsius Corporation,"Kenneth A. Collins, David Seari Kimball",2005-07-01,2005-07-01,2007-02-27,2007-02-27,https://patents.google.com/patent/US7181927B2/en,https://patentimages.storage.googleapis.com/c5/df/fd/603344f36ff9de/US07181927-20070227-D00000.png
US-7639007-B2,Apparatus and method for performing in-vitro DNP-NMR measurements ,Oxford Instruments Superconductivity Ltd.,"Graham Mark Hutton, Robert Andrew Slade, Francis John Brown",2004-05-18,2005-05-16,2009-12-29,2009-12-29,https://patents.google.com/patent/US7639007B2/en,https://patentimages.storage.googleapis.com/1c/d4/b0/9c49d91df3f409/US07639007-20091229-D00000.png
US-7305879-B2,Cross-component superconducting gravity gradiometer with improved linearity and sensitivity and method for gravity gradient sensing ,University Of Maryland,"Martin Vol Moody, Ho Jung Paik",2005-03-18,2006-03-17,2007-12-11,2007-12-11,https://patents.google.com/patent/US7305879B2/en,https://patentimages.storage.googleapis.com/dd/5d/0e/0bc0f945cbae55/US07305879-20071211-D00000.png
US-7339607-B2,Security camera and monitor system activated by motion sensor and body heat sensor for homes or offices ,Yongyouth Damabhorn,Yongyouth Damabhorn,2005-03-25,2005-03-25,2008-03-04,2008-03-04,https://patents.google.com/patent/US7339607B2/en,https://patentimages.storage.googleapis.com/96/57/62/ce7103c12bb56e/US07339607-20080304-D00000.png
