search URL:,https://patents.google.com/?q=%28%22memristor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9036395-B2,Programmed-state detection in memristor stacks ,"Hewlett-Packard Development Company, L.P.",Richard J. Carter,2012-06-26,2012-06-26,2015-05-19,2015-05-19,https://patents.google.com/patent/US9036395B2/en,https://patentimages.storage.googleapis.com/3b/7d/a5/7f8d43cd7fce6b/US09036395-20150519-D00000.png
US-11126403-B2,True random number generator (TRNG) circuit using a diffusive memristor ,University Of Massachusetts,"Jianhua Yang, Qiangfei Xia, Hao Jiang",2018-03-28,2019-03-28,2021-09-21,2021-09-21,https://patents.google.com/patent/US11126403B2/en,https://patentimages.storage.googleapis.com/ee/1f/8f/a3fbfd07fe5637/US11126403-20210921-D00000.png
US-8331131-B2,Changing a memristor state ,"Hewlett-Packard Development Company, L.P.","Feng Miao, Jianhua Yang, Gilberto Medeiros Ribeiro, R. Stanley Williams",2011-01-31,2011-01-31,2012-12-11,2012-12-11,https://patents.google.com/patent/US8331131B2/en,https://patentimages.storage.googleapis.com/04/ff/0b/c6e90cd4cbab96/US08331131-20121211-D00000.png
US-8113437-B2,RFID device with memory unit having memristor characteristics ,"Hynix Semiconductor, Inc.",Hee Bok Kang,2009-12-23,2010-06-02,2012-02-14,2012-02-14,https://patents.google.com/patent/US8113437B2/en,https://patentimages.storage.googleapis.com/02/ad/96/ee50f4aeea4242/US08113437-20120214-D00000.png
US-9000411-B2,Memristor devices configured to control bubble formation ,"Hewlett-Packard Development Company, L.P.","Zhiyong Li, Alexandre M. Bratkovski, Jianhua Yang",2009-01-06,2009-01-06,2015-04-07,2015-04-07,https://patents.google.com/patent/US9000411B2/en,https://patentimages.storage.googleapis.com/c8/32/3a/37c913760fa9aa/US09000411-20150407-D00000.png
US-8063395-B2,Memristor amorphous metal alloy electrodes ,"Hewlett-Packard Development Company, L.P.","Qiangfei Xia, Jianhua Yang, Shih-Yuan Wang",2009-09-30,2009-09-30,2011-11-22,2011-11-22,https://patents.google.com/patent/US8063395B2/en,https://patentimages.storage.googleapis.com/7d/3d/db/036c8098189d50/US08063395-20111122-D00000.png
US-9478738-B2,High-reliability high-speed memristor ,Hewlett Packard Enterprise Development Lp,"Feng Miao, Jianhua Yang, John Paul Strachan, Wei Yi, Gilberto Medeiros Ribeiro, R. Stanley Williams",2011-06-24,2015-09-04,2016-10-25,2016-10-25,https://patents.google.com/patent/US9478738B2/en,https://patentimages.storage.googleapis.com/70/76/85/2afe63be01ba33/US09478738-20161025-D00000.png
US-9679242-B2,Memristor apparatus with meta-stable switching elements ,"Knowm Tech, Llc",Alex Nugent,2002-03-12,2015-07-08,2017-06-13,2017-06-13,https://patents.google.com/patent/US9679242B2/en,https://patentimages.storage.googleapis.com/e2/d4/f3/30af1d8eed5bc2/US09679242-20170613-D00000.png
US-8427203-B2,Reconfigurable memristor-based computing logic ,The United States Of America As Represented By The Secretary Of The Air Force,"Robinson E. Pino, Youngok K. Pino",2011-02-25,2012-01-30,2013-04-23,2013-04-23,https://patents.google.com/patent/US8427203B2/en,https://patentimages.storage.googleapis.com/00/39/d3/7065292f97882c/US08427203-20130423-D00000.png
US-9299922-B1,Continuous-level memristor emulator ,King Fahd University Of Petroleum And Minerals,"Muhammad Taher ABUELMA'ATTI, Zainulabideen Jamal Khalifa",2015-06-23,2015-06-23,2016-03-29,2016-03-29,https://patents.google.com/patent/US9299922B1/en,https://patentimages.storage.googleapis.com/a4/6b/d5/7e6f1b28b082f1/US09299922-20160329-D00000.png
