search URL:,https://patents.google.com/?q=%28%22vector+field%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6944227-B1,Method and apparatus for motion vector field encoding ,Mitsubishi Denki Kabushiki Kaisha,Miroslaw Z. BOBER,1999-03-16,2000-03-15,2005-09-13,2005-09-13,https://patents.google.com/patent/US6944227B1/en,https://patentimages.storage.googleapis.com/1b/fe/d6/3b032421fc72df/US06944227-20050913-D00000.png
US-6784796-B2,Magnetic vector field tag and seal ,The Regents Of The University Of Califronia,"Roger G. Johnston, Anthony R. E. Garcia",1999-12-17,2001-11-06,2004-08-31,2004-08-31,https://patents.google.com/patent/US6784796B2/en,https://patentimages.storage.googleapis.com/22/5d/ec/1d7586d54a8cf8/US06784796-20040831-D00000.png
US-4429280-A,Apparatus and method for demodulation of a modulated curl-free magnetic vector potential field ,Honeywell Inc.,Raymond C. Gelinas,1980-10-20,1980-10-20,1984-01-31,1984-01-31,https://patents.google.com/patent/US4429280A/en,https://patentimages.storage.googleapis.com/92/f4/ea/198063ad7a636b/US4429280-drawings-page-2.png
US-4429288-A,Apparatus and method for modulation of a curl-free magnetic vector potential field ,Honeywell Inc.,Raymond C. Gelinas,1980-10-20,1980-10-20,1984-01-31,1984-01-31,https://patents.google.com/patent/US4429288A/en,https://patentimages.storage.googleapis.com/ac/c7/2c/e9662f98391c70/US4429288-drawings-page-2.png
US-6690350-B2,Rotating element sheet material with dual vector field addressing ,Xerox Corporation,Nicholas K. Sheridon,2001-01-11,2001-01-11,2004-02-10,2004-02-10,https://patents.google.com/patent/US6690350B2/en,https://patentimages.storage.googleapis.com/a1/da/d5/cfba451ed227d6/US06690350-20040210-D00000.png
US-6163575-A,Motion vector field coding ,Nokia Mobile Phones Limited,"Jacek Nieweglowski, Marta Karczewicz",1995-10-20,1995-10-20,2000-12-19,2000-12-19,https://patents.google.com/patent/US6163575A/en,https://patentimages.storage.googleapis.com/b7/38/23/f54dbd9516ef0a/US6163575-drawings-page-3.png
US-4447779-A,Apparatus and method for determination of a receiving device relative to a transmitting device utilizing a curl-free magnetic vector potential field ,Honeywell Inc.,Raymond C. Gelinas,1980-10-20,1980-10-20,1984-05-08,1984-05-08,https://patents.google.com/patent/US4447779A/en,https://patentimages.storage.googleapis.com/f3/c5/86/849cc9f19464a8/US4447779-drawings-page-2.png
US-5412765-A,Method for vector field visualization using time varying texture maps ,General Electric Company,"Boris Yamrom, Kenneth M. Martin",1992-12-21,1994-08-05,1995-05-02,1995-05-02,https://patents.google.com/patent/US5412765A/en,https://patentimages.storage.googleapis.com/3c/fb/62/4888565d1abac7/US5412765-drawings-page-2.png
US-7852936-B2,Motion vector prediction in bi-directionally predicted interlaced field-coded pictures ,Microsoft Corporation,"Kunal Mukerjee, Thomas W. Holcomb",2003-09-07,2004-09-15,2010-12-14,2010-12-14,https://patents.google.com/patent/US7852936B2/en,https://patentimages.storage.googleapis.com/b3/2e/00/7b506fcbc6a7d2/US07852936-20101214-D00000.png
US-8743657-B1,Resolution analysis using vector components of a scattered acoustic intensity field ,The United States Of America As Represented By The Secretary Of The Navy,"Robert J. Barton, III, Kevin B. Smith",2011-04-22,2011-04-22,2014-06-03,2014-06-03,https://patents.google.com/patent/US8743657B1/en,https://patentimages.storage.googleapis.com/da/53/4f/808e2194f4ecd4/US08743657-20140603-D00000.png
US-7620106-B2,Joint coding and decoding of a reference field selection and differential motion vector information ,Microsoft Corporation,"Thomas W. Holcomb, Sridhar Srinivasan",2003-09-07,2004-09-02,2009-11-17,2009-11-17,https://patents.google.com/patent/US7620106B2/en,https://patentimages.storage.googleapis.com/91/3c/25/c2c9630e165de8/US07620106-20091117-D00000.png
